time,theta,tvc,combined
1.689999999999999947e+00,1.063360654939904115e-01,-9.589482147967311187e-02,2.022308869736635373e-01
1.699999999999999956e+00,1.110820315924400253e-01,-9.442233065636071454e-02,2.055043622488007538e-01
1.709999999999999964e+00,1.154919652350176185e-01,-9.268961961684379913e-02,2.081815848518614176e-01
1.719999999999999973e+00,1.196020881943438141e-01,-9.073469086937456518e-02,2.103367790637183932e-01
1.729999999999999982e+00,1.233695713365792063e-01,-8.872531827203912480e-02,2.120948896086183311e-01
1.739999999999999991e+00,1.267821400686293398e-01,-8.675621868013035087e-02,2.135383587487597046e-01
1.750000000000000000e+00,1.298241207069856240e-01,-8.472453091629117417e-02,2.145486516232767982e-01
1.760000000000000009e+00,1.324908193625954078e-01,-8.254030833250645960e-02,2.150311276951018535e-01
1.770000000000000018e+00,1.348519213056566524e-01,-8.012982727063153177e-02,2.149817485762881841e-01
1.780000000000000027e+00,1.369413835774115074e-01,-7.751142968449310777e-02,2.144528132619046290e-01
1.790000000000000036e+00,1.387625959165301182e-01,-7.490600996479655771e-02,2.136686058813266897e-01
1.800000000000000044e+00,1.402537283122176903e-01,-7.244395003936006383e-02,2.126976783515777680e-01
1.810000000000000053e+00,1.414092381447895064e-01,-7.009168236159203647e-02,2.115009205063815290e-01
1.820000000000000062e+00,1.422671245097780479e-01,-6.762022515343847628e-02,2.098873496632165381e-01
1.830000000000000071e+00,1.428342155519084222e-01,-6.496184135221076683e-02,2.077960569041191752e-01
1.840000000000000080e+00,1.431086532414886370e-01,-6.220142671312618721e-02,2.053100799546148103e-01
1.850000000000000089e+00,1.430934487051736259e-01,-5.937611175898706989e-02,2.024695604641607027e-01
1.860000000000000098e+00,1.428202733436858829e-01,-5.649212046123353037e-02,1.993123938049194133e-01
1.870000000000000107e+00,1.423475295916472316e-01,-5.355953188754522531e-02,1.959070614791924569e-01
1.880000000000000115e+00,1.417160677178421757e-01,-5.067569625107450071e-02,1.923917639689166625e-01
1.890000000000000124e+00,1.409985108986265556e-01,-4.800013845185030492e-02,1.889986493504768605e-01
1.900000000000000133e+00,1.402457135826720991e-01,-4.564491117207673809e-02,1.858906247547488233e-01
1.910000000000000142e+00,1.394169261388011061e-01,-4.377204219496753229e-02,1.831889683337686314e-01
1.919999999999999929e+00,1.385291787854243117e-01,-4.239189469616436862e-02,1.809210734815886734e-01
1.929999999999999938e+00,1.375752864745232451e-01,-4.129013287641872948e-02,1.788654193509419676e-01
1.939999999999999947e+00,1.365717275807233344e-01,-4.034751087929454999e-02,1.769192384600178913e-01
1.949999999999999956e+00,1.355307658323575415e-01,-3.944402975653053811e-02,1.749747955888880657e-01
1.959999999999999964e+00,1.343896032933470930e-01,-3.858198174410021331e-02,1.729715850374473063e-01
1.969999999999999973e+00,1.331223861782510065e-01,-3.773881073389421387e-02,1.708611969121452134e-01
1.979999999999999982e+00,1.317310248394069905e-01,-3.672114788060691637e-02,1.684521727200138930e-01
1.989999999999999991e+00,1.301862092898958545e-01,-3.544578318965550118e-02,1.656319924795513487e-01
2.000000000000000000e+00,1.284670608011355686e-01,-3.391630053426305386e-02,1.623833613353986294e-01
2.010000000000000231e+00,1.265476942780337788e-01,-3.212103435603110707e-02,1.586687286340648928e-01
2.020000000000000018e+00,1.244329592845559856e-01,-3.003687574216979891e-02,1.544698350267257880e-01
2.030000000000000249e+00,1.221146390455320058e-01,-2.765980841143742333e-02,1.497744474569694395e-01
2.040000000000000036e+00,1.196151727998630843e-01,-2.506076915697227903e-02,1.446759419568353633e-01
2.049999999999999822e+00,1.170592861540977053e-01,-2.227632892851151569e-02,1.393356150826092210e-01
2.060000000000000053e+00,1.144620761249117158e-01,-1.949177863361218482e-02,1.339538547585238937e-01
2.069999999999999840e+00,1.118134612575062831e-01,-1.706128150150994921e-02,1.288747427590162253e-01
2.080000000000000071e+00,1.091260252997262731e-01,-1.504364211294449694e-02,1.241696674126707700e-01
2.089999999999999858e+00,1.064412176235155216e-01,-1.333751781496792140e-02,1.197787354384834413e-01
2.100000000000000089e+00,1.037857733084118633e-01,-1.186971740243126378e-02,1.156554907108431340e-01
2.109999999999999876e+00,1.011569797798292231e-01,-1.065208213718518877e-02,1.118090619170144101e-01
2.120000000000000107e+00,9.856353673535318827e-02,-9.692215840114702316e-03,1.082557525754678923e-01
2.129999999999999893e+00,9.597276861929707192e-02,-8.913826217301770022e-03,1.048865948365988454e-01
2.140000000000000124e+00,9.334137977886590443e-02,-8.265159976559322344e-03,1.016065397554252320e-01
2.149999999999999911e+00,9.068188740785439184e-02,-7.573199334793561006e-03,9.825508674264794851e-02
2.160000000000000142e+00,8.801474659624188013e-02,-6.695472715461896381e-03,9.471021931170377217e-02
2.169999999999999929e+00,8.534482199394860524e-02,-5.665192368877972756e-03,9.101001436282657453e-02
2.180000000000000160e+00,8.266245177239392450e-02,-4.579399572921559643e-03,8.724185134531547980e-02
2.189999999999999947e+00,7.996108666998320846e-02,-3.497610984081688922e-03,8.345869765406489782e-02
2.200000000000000178e+00,7.725172334986832312e-02,-2.414769696753863576e-03,7.966649304662218323e-02
2.209999999999999964e+00,7.454776272629949629e-02,-1.314908117776787721e-03,7.586267084407628813e-02
2.220000000000000195e+00,7.187319511539159989e-02,-2.315766135723670068e-04,7.210477172896397058e-02
2.229999999999999982e+00,6.926535182784004929e-02,7.823797634040313264e-04,6.848297206443601515e-02
2.240000000000000213e+00,6.674840066955869955e-02,1.659235150615701558e-03,6.508916551894300406e-02
2.250000000000000000e+00,6.431046032517306887e-02,2.288962687450014303e-03,6.202149763772305674e-02
2.260000000000000231e+00,6.195425380750468891e-02,2.643777749804038669e-03,5.931047605770065068e-02
2.270000000000000018e+00,5.969947119168631661e-02,2.809209414488866418e-03,5.689026177719744976e-02
2.280000000000000249e+00,5.759861777062801752e-02,2.840777800184528940e-03,5.475783997044349205e-02
2.290000000000000036e+00,5.569089627499666795e-02,2.716904076353985655e-03,5.297399219864268316e-02
2.300000000000000266e+00,5.396356825740112467e-02,2.310136644544317618e-03,5.165343161285680662e-02
2.310000000000000053e+00,5.242736255341959306e-02,1.551175508038935263e-03,5.087618704538066083e-02
2.319999999999999840e+00,5.107100848404665799e-02,5.083111374703014242e-04,5.056269734657635462e-02
2.330000000000000071e+00,4.991122566459335608e-02,-7.584486336548955897e-04,5.066967429824825037e-02
2.339999999999999858e+00,4.902649020678807867e-02,-2.144011233565020543e-03,5.117050144035310139e-02
2.350000000000000089e+00,4.848255842032593577e-02,-3.691168225644681205e-03,5.217372664597061394e-02
2.359999999999999876e+00,4.834340257623607334e-02,-5.606526006524872353e-03,5.394992858276094483e-02
2.370000000000000107e+00,4.867252896850889771e-02,-8.081445295468968337e-03,5.675397426397786604e-02
2.379999999999999893e+00,4.950497553127503753e-02,-1.127094087741046732e-02,6.077591640868550138e-02
2.390000000000000124e+00,5.081346083917563650e-02,-1.524569162087599170e-02,6.605915246005163166e-02
2.399999999999999911e+00,5.251134960536146812e-02,-1.995562580490886639e-02,7.246697541027033451e-02
2.410000000000000142e+00,5.452631081571792521e-02,-2.510789908715442553e-02,7.963420990287234380e-02
